STORE NAME,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,CENSUS TRACT,LATITUDE,LONGITUDE
"RIO GRANDE FRUIT MARKET, INC.",3750,B,3501 W NORTH AVE,60647,17031230800,41.9099107051,-87.7143855102
RITE PRICE FOOD,3600,B,5606 W DIVISION ST,60651,17031250600,41.9022506897,-87.7659509238
RIVERSIDE DELI,5500,B,1656 W CORTLAND ST,60622,17031832300,41.9161861150,-87.6701349439
RIVIERA FOODS,3500,B,3218 N HARLEM AVE,60634,17031170800,41.9385912816,-87.8069148007
RJ Liquors,3550,B,5640 W FULLERTON AVE,60639,17031190602,41.9240644164,-87.7676604864
RODRIGUEZ FRUITS & VEGETABLE,2626,B,2458 S ST LOUIS AVE,60623,17031300700,41.8463298609,-87.7125513997
ROMAN BROS 1 INC,10001,A,6978 N CLARK ST,60626,17031010702,42.0088564722,-87.6740803740
ROSE-RIDGE FOODS,3000,B,10500 S MICHIGAN AVE,60628,17031490902,41.7034152187,-87.6208096791
ROYLA BLUE FOODS,2500,B,4359 S CAMPBELL AVE,60632,17031580700,41.8139376802,-87.6869220140
"R & S DISCOUNT FOOD, WINE, & LIQUOR",2800,B,2425 W DIVERSEY AVE,60647,17031830900,41.9320468510,-87.6889786863
SAFAH FOOD & LIQUOR INC,3000,B,7105 S RACINE AVE,60636,17031681400,41.7648964002,-87.6539648335
